h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.364297,2.00607,0.364297,2.00607,"{'att': 267, 'def': 12}","{'att': 171, 'def': 24}",1,6,2,2,0.1698,d,2023-08-20 16:30:00,0,1,0,1,-1.6417729999999997
h,0.559371,0.548425,0.559371,0.548425,"{'att': 171, 'def': 19}","{'att': 226, 'def': 30}",6,2,1,1,1.3158,d,2023-08-28 16:30:00,0,1,0,1,0.0109459999999999
a,1.05367,1.83665,1.05367,1.07536,"{'att': 159, 'def': 19}","{'att': 234, 'def': 36}",7,4,0,2,0.7563,l,2023-09-03 18:45:00,0,0,1,0,-0.021689999999999987
h,0.694683,1.54562,0.694683,1.54562,"{'att': 198, 'def': 22}","{'att': 261, 'def': 22}",3,4,0,3,0.6535,l,2023-09-18 16:30:00,0,0,1,0,-0.8509369999999999
h,0.834621,0.98737,0.834621,0.98737,"{'att': 222, 'def': 21}","{'att': 184, 'def': 27}",9,6,1,1,1.1597,d,2023-09-22 16:30:00,0,1,0,1,-0.15274900000000002
a,0.477434,2.29107,0.477434,2.29107,"{'att': 143, 'def': 22}","{'att': 246, 'def': 35}",3,6,0,1,0.201,l,2023-09-27 16:30:00,0,0,1,0,-1.8136359999999998
h,0.620122,2.5554,0.620122,1.7941,"{'att': 391, 'def': 19}","{'att': 130, 'def': 19}",4,14,0,4,0.2309,l,2023-09-30 18:45:00,0,0,1,0,-1.173978
a,0.999628,3.73783,0.999628,2.97653,"{'att': 361, 'def': 23}","{'att': 170, 'def': 16}",3,7,0,3,0.1261,l,2023-10-08 10:30:00,0,0,1,0,-1.976902
h,1.33333,1.4958,0.572035,1.4958,"{'att': 194, 'def': 17}","{'att': 166, 'def': 19}",8,7,2,2,1.2166,d,2023-10-22 13:00:00,0,1,0,1,-0.9237650000000001
a,0.778619,0.40726,0.778619,0.40726,"{'att': 258, 'def': 26}","{'att': 211, 'def': 24}",2,2,0,1,1.7563,l,2023-10-27 18:45:00,0,0,1,0,0.37135899999999994
h,0.322231,1.67658,0.322231,1.67658,"{'att': 310, 'def': 26}","{'att': 208, 'def': 34}",3,16,0,2,0.3799,l,2023-11-04 14:00:00,0,0,1,0,-1.354349
a,0.946956,2.4684,0.946956,2.4684,"{'att': 260, 'def': 19}","{'att': 175, 'def': 27}",5,10,2,2,0.4043,d,2023-11-10 17:30:00,0,1,0,1,-1.5214439999999998
