h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.03099,0.443184,1.03099,0.443184,"{'att': 179, 'def': 13}","{'att': 269, 'def': 24}",5,7,0,0,1.8927999999999998,d,2023-08-21 16:30:00,0,1,0,1,0.587806
a,0.563184,3.25277,0.563184,1.73017,"{'att': 328, 'def': 21}","{'att': 205, 'def': 16}",3,7,1,4,0.06230000000000001,l,2023-08-26 18:45:00,0,0,1,0,-1.166986
h,0.481429,0.102008,0.481429,0.102008,"{'att': 160, 'def': 18}","{'att': 283, 'def': 11}",4,0,1,0,1.6395,w,2023-09-03 16:30:00,1,0,0,3,0.379421
a,1.54562,0.694683,1.54562,0.694683,"{'att': 261, 'def': 22}","{'att': 198, 'def': 22}",4,3,3,0,2.101,w,2023-09-18 16:30:00,1,0,0,3,0.8509369999999999
h,1.10678,1.10764,1.10678,1.10764,"{'att': 340, 'def': 22}","{'att': 191, 'def': 11}",2,6,1,1,1.3408,d,2023-09-24 18:45:00,0,1,0,1,-0.0008599999999998609
a,0.213455,0.773684,0.213455,0.773684,"{'att': 314, 'def': 20}","{'att': 346, 'def': 26}",0,9,0,2,0.6859,l,2023-09-27 18:45:00,0,0,1,0,-0.5602290000000001
h,0.617691,0.273624,0.617691,0.273624,"{'att': 187, 'def': 16}","{'att': 238, 'def': 21}",5,2,0,0,1.6561,d,2023-10-02 16:30:00,0,1,0,1,0.344067
a,0.592513,2.40906,0.592513,2.40906,"{'att': 265, 'def': 24}","{'att': 238, 'def': 10}",6,1,0,2,0.22960000000000003,l,2023-10-07 16:00:00,0,0,1,0,-1.8165470000000004
h,0.596799,2.44253,0.596799,1.68123,"{'att': 284, 'def': 20}","{'att': 214, 'def': 16}",3,6,0,3,0.19440000000000002,l,2023-10-21 16:00:00,0,0,1,0,-1.084431
a,1.33241,0.462357,1.33241,0.462357,"{'att': 194, 'def': 19}","{'att': 233, 'def': 22}",4,4,1,0,2.2272000000000003,w,2023-10-28 16:00:00,1,0,0,3,0.8700530000000001
h,3.43408,0.499189,3.43408,0.499189,"{'att': 230, 'def': 20}","{'att': 282, 'def': 14}",7,6,2,1,2.8696,w,2023-11-06 19:45:00,1,0,0,3,2.934891
a,0.819686,1.16628,0.819686,1.16628,"{'att': 238, 'def': 32}","{'att': 312, 'def': 15}",15,1,1,1,1.0196,d,2023-11-11 19:45:00,0,1,0,1,-0.34659399999999996
