Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2001-2002,EPL,Arsenal,Patrick Vieira,fr FRA,MF,25.0,,35.0,3081.0,34.2,2.0,2.0,4.0,2.0,0.0,1.0,12.0,1.0,,,,0.06,0.06,0.12,0.06,0.12,Matches,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Thierry Henry,fr FRA,FW,23.0,,31.0,2939.0,32.7,24.0,5.0,29.0,20.0,4.0,4.0,4.0,0.0,,,,0.73,0.15,0.89,0.61,0.77,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Sol Campbell,eng ENG,"DF,FW",26.0,,29.0,2625.0,29.2,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,,,,0.07,0.03,0.1,0.07,0.1,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Ashley Cole,eng ENG,DF,20.0,,29.0,2485.0,27.6,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,,,,0.07,0.11,0.18,0.07,0.18,Matches,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Lauren,cm CMR,DF,24.0,,27.0,2430.0,27.0,2.0,2.0,4.0,1.0,1.0,1.0,8.0,0.0,,,,0.07,0.07,0.15,0.04,0.11,Matches,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Robert Pirès,fr FRA,"FW,MF",27.0,,27.0,2344.0,26.0,9.0,15.0,24.0,8.0,1.0,1.0,6.0,0.0,,,,0.35,0.58,0.92,0.31,0.88,Matches,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Ray Parlour,eng ENG,MF,28.0,,25.0,2067.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,,,,0.0,0.04,0.04,0.0,0.04,Matches,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Freddie Ljungberg,se SWE,"FW,MF",24.0,,24.0,1904.0,21.2,12.0,4.0,16.0,12.0,0.0,0.0,4.0,0.0,,,,0.57,0.19,0.76,0.57,0.76,Matches,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Sylvain Wiltord,fr FRA,"FW,MF",27.0,,22.0,2425.0,26.9,10.0,7.0,17.0,10.0,0.0,0.0,0.0,0.0,,,,0.37,0.26,0.63,0.37,0.63,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,EPL,Arsenal,Dennis Bergkamp,nl NED,FW,32.0,,22.0,1948.0,21.6,9.0,12.0,21.0,9.0,0.0,0.0,2.0,0.0,,,,0.42,0.55,0.97,0.42,0.97,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
