Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2001-2002,Ligue1,Lyon,Grégory Coupet,fr FRA,GK,28.0,34.0,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Philippe Violeau,fr FRA,MF,30.0,28.7,4.0,2.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Patrick Müller,ch SUI,DF,24.0,27.7,3.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Juninho Pernambucano,br BRA,MF,26.0,24.9,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Jérémie Bréchet,fr FRA,"DF,MF",21.0,24.6,3.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Éric Carrière,fr FRA,MF,28.0,22.9,2.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Sidney Govou,fr FRA,"FW,MF",22.0,22.6,5.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Sonny Anderson,br BRA,FW,30.0,21.2,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Éric Deflandre,be BEL,DF,27.0,20.2,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,David Linarès,fr FRA,MF,25.0,18.8,2.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Edmílson,br BRA,"DF,MF",25.0,16.7,3.0,1.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Pierre Laigle,fr FRA,"DF,MF",30.0,15.8,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Jean-Marc Chanelet,fr FRA,DF,33.0,14.8,2.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Christophe Delmotte,fr FRA,"DF,MF",32.0,16.0,2.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Marc-Vivien Foé,cm CMR,MF,26.0,14.0,3.0,1.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Caçapa,br BRA,"DF,MF",25.0,13.7,3.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Florent Laville,fr FRA,DF,27.0,9.7,3.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Frédéric Née,fr FRA,FW,26.0,10.9,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Péguy Luyindula,fr FRA,"FW,MF",22.0,9.5,0.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Steve Marlet,fr FRA,"FW,MF",27.0,4.6,0.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Bryan Bergougnoux,fr FRA,"FW,MF",18.0,0.2,0.0,0.0,0.0,,,,,,,,,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Alexandre Hauw,fr FRA,MF,19.0,0.1,0.0,0.0,0.0,,,,,,,,,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Squad Total,,,27.2,,42.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lyon,Opponent Total,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Guillaume Warmuz,fr FRA,GK,31.0,34.0,0.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Jocelyn Blanchard,fr FRA,MF,29.0,32.9,5.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Valérien Ismaël,fr FRA,DF,25.0,30.7,7.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Jean-Guy Wallemme,fr FRA,DF,33.0,31.6,2.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Daniel Moreira,fr FRA,FW,23.0,29.4,1.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Stéphane Pédron,fr FRA,MF,30.0,27.9,3.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Ferdinand Coly,sn SEN,DF,27.0,24.7,7.0,1.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,El Hadji Diouf,sn SEN,"FW,MF",20.0,24.4,10.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ligue1,Lens,Charles-Édouard Coridon,mq MTQ,MF,28.0,22.7,6.0,0.0,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
