Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2003-2004,EPL,Arsenal,Jens Lehmann,de GER,GK,33.0,38.0,38.0,3420.0,38.0,26.0,0.68,114.0,88.0,77.2,26.0,12.0,0.0,15.0,39.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Arsenal,Squad Total,,,27.3,38.0,38.0,3420.0,,26.0,0.68,114.0,88.0,77.2,26.0,12.0,0.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Arsenal,Opponent Total,,,27.2,38.0,38.0,,,,,,,,0.0,12.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Chelsea,Carlo Cudicini,it ITA,GK,29.0,26.0,26.0,2340.0,26.0,20.0,0.77,79.0,59.0,74.7,17.0,5.0,4.0,14.0,53.8,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Chelsea,Marco Ambrosio,it ITA,GK,30.0,8.0,8.0,720.0,8.0,8.0,1.0,36.0,28.0,77.8,4.0,2.0,2.0,4.0,50.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Chelsea,Neil Sullivan,sct SCO,GK,33.0,4.0,4.0,360.0,4.0,2.0,0.5,10.0,8.0,80.0,3.0,0.0,1.0,3.0,75.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Chelsea,Squad Total,,,25.9,38.0,38.0,3420.0,,30.0,0.79,125.0,95.0,76.0,24.0,7.0,7.0,21.0,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Chelsea,Opponent Total,,,27.3,38.0,38.0,,,,,,,,7.0,7.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Manchester Utd,Tim Howard,us USA,GK,24.0,32.0,32.0,2790.0,32.0,31.0,1.0,141.0,110.0,78.0,20.0,4.0,8.0,12.0,37.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Manchester Utd,Roy Carroll,nir NIR,GK,25.0,6.0,6.0,540.0,6.0,4.0,0.67,22.0,18.0,81.8,3.0,2.0,1.0,2.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Manchester Utd,Squad Total,,,25.8,38.0,38.0,3330.0,,35.0,0.95,163.0,128.0,78.5,23.0,6.0,9.0,14.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Manchester Utd,Opponent Total,,,27.3,38.0,38.0,,,,,,,,9.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Liverpool,Jerzy Dudek,pl POL,GK,30.0,30.0,30.0,2687.0,29.9,28.0,0.94,116.0,88.0,75.9,13.0,9.0,8.0,11.0,36.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
