Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2003-2004,SeriaA,Milan,Dida,br BRA,GK,29.0,,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Andrea Pirlo,it ITA,MF,24.0,,31.0,2698.0,30.0,6.0,7.0,13.0,3.0,3.0,4.0,2.0,0.0,,,,0.2,0.23,0.43,0.1,0.33,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Andriy Shevchenko,ua UKR,FW,26.0,,30.0,2683.0,29.8,24.0,3.0,27.0,23.0,1.0,1.0,2.0,0.0,,,,0.81,0.1,0.91,0.77,0.87,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Paolo Maldini,it ITA,DF,35.0,,30.0,2639.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Gennaro Gattuso,it ITA,MF,25.0,,29.0,2566.0,28.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,,,,0.04,0.07,0.11,0.04,0.11,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Cafú,br BRA,DF,33.0,,26.0,2256.0,25.1,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,,,,0.04,0.2,0.24,0.04,0.24,Matches,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Alessandro Nesta,it ITA,DF,27.0,,26.0,2248.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,,,,0.0,0.04,0.04,0.0,0.04,Matches,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Clarence Seedorf,nl NED,MF,27.0,,26.0,2087.0,23.2,3.0,6.0,9.0,3.0,0.0,0.0,2.0,0.0,,,,0.13,0.26,0.39,0.13,0.39,Matches,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Kaká,br BRA,"FW,MF",21.0,,25.0,2244.0,24.9,10.0,5.0,15.0,10.0,0.0,0.0,5.0,0.0,,,,0.4,0.2,0.6,0.4,0.6,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Rui Costa,pt POR,MF,31.0,,19.0,1590.0,17.7,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,,,,0.17,0.4,0.57,0.17,0.57,Matches,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,SeriaA,Milan,Alessandro Costacurta,it ITA,DF,37.0,,18.0,1727.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.05,0.05,0.0,0.05,Matches,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
