Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2004-2005,LaLiga,Barcelona,Samuel Eto'o,cm CMR,FW,23.0,37.0,37.0,3036.0,33.7,24.0,3.0,27.0,20.0,4.0,5.0,4.0,0.0,,,,0.71,0.09,0.8,0.59,0.68,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Carles Puyol,es ESP,DF,26.0,36.0,36.0,3109.0,34.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,,,,0.0,0.03,0.03,0.0,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Xavi,es ESP,MF,24.0,36.0,36.0,3052.0,33.9,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,,,,0.09,0.18,0.27,0.09,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Víctor Valdés,es ESP,GK,22.0,35.0,35.0,3135.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Ronaldinho,br BRA,"FW,MF",24.0,35.0,35.0,3071.0,34.1,9.0,9.0,18.0,6.0,3.0,4.0,5.0,0.0,,,,0.26,0.26,0.53,0.18,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Deco,pt POR,MF,26.0,35.0,35.0,2947.0,32.7,8.0,11.0,19.0,8.0,0.0,0.0,13.0,0.0,,,,0.24,0.34,0.58,0.24,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Oleguer Presas,es ESP,DF,24.0,36.0,33.0,2926.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,,,,0.03,0.03,0.06,0.03,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Rafael Márquez,mx MEX,"DF,MF",25.0,34.0,33.0,2715.0,30.2,3.0,4.0,7.0,3.0,0.0,0.0,7.0,1.0,,,,0.1,0.13,0.23,0.1,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Juliano Belletti,br BRA,"DF,MF",28.0,31.0,29.0,2536.0,28.2,0.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,,,,0.0,0.14,0.14,0.0,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Ludovic Giuly,fr FRA,"FW,MF",28.0,29.0,29.0,2080.0,23.1,11.0,4.0,15.0,11.0,0.0,0.0,1.0,0.0,,,,0.48,0.17,0.65,0.48,0.65,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Giovanni van Bronckhorst,nl NED,"DF,MF",29.0,29.0,27.0,2388.0,26.5,4.0,1.0,5.0,4.0,0.0,0.0,8.0,0.0,,,,0.15,0.04,0.19,0.15,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Andrés Iniesta,es ESP,MF,20.0,37.0,12.0,1657.0,18.4,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,,,,0.11,0.11,0.22,0.11,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Sylvinho,br BRA,DF,30.0,21.0,11.0,960.0,10.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.09,0.09,0.0,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Henrik Larsson,se SWE,FW,32.0,12.0,6.0,571.0,6.3,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,,,,0.47,0.0,0.47,0.47,0.47,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Damià Abella,es ESP,"DF,MF",22.0,9.0,5.0,458.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Edmílson,br BRA,"DF,MF",28.0,6.0,4.0,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,LaLiga,Barcelona,Thiago Motta,it ITA,MF,21.0,8.0,3.0,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
