Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2005-2006,LaLiga,Barcelona,Víctor Valdés,es ESP,GK,23.0,35.0,35.0,3150.0,35.0,29.0,0.83,122.0,93.0,76.2,24.0,7.0,4.0,16.0,45.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Barcelona,Albert Jorquera,es ESP,GK,26.0,3.0,3.0,270.0,3.0,6.0,2.0,16.0,10.0,62.5,1.0,0.0,2.0,1.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Barcelona,Squad Total,,,26.6,38.0,38.0,3420.0,,35.0,0.92,138.0,103.0,74.6,25.0,7.0,6.0,17.0,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Barcelona,Opponent Total,,,26.5,38.0,38.0,,,,,,,,6.0,7.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Real Madrid,Iker Casillas,es ESP,GK,24.0,37.0,37.0,3320.0,36.9,38.0,1.03,169.0,131.0,77.5,19.0,10.0,8.0,15.0,40.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Real Madrid,Diego López,es ESP,GK,23.0,2.0,1.0,100.0,1.1,2.0,1.8,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Real Madrid,Squad Total,,,26.7,38.0,38.0,3420.0,,40.0,1.05,174.0,134.0,77.0,20.0,10.0,8.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Real Madrid,Opponent Total,,,26.6,38.0,38.0,,,,,,,,8.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Valencia,Santiago Cañizares,es ESP,GK,35.0,36.0,36.0,3240.0,36.0,29.0,0.81,155.0,126.0,81.3,19.0,11.0,6.0,16.0,44.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Valencia,Ludovic Butelle,fr FRA,GK,22.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
