Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2005-2006,SeriaA,Inter,Júlio César,br BRA,GK,25.0,29.0,29.0,2610.0,29.0,22.0,0.76,114.0,92.0,80.7,18.0,4.0,7.0,16.0,55.2,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Francesco Toldo,it ITA,GK,33.0,8.0,8.0,720.0,8.0,5.0,0.62,27.0,22.0,81.5,5.0,2.0,1.0,3.0,37.5,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Paolo Orlandoni,it ITA,GK,32.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Squad Total,,,28.3,38.0,38.0,3420.0,,29.0,0.76,146.0,117.0,80.1,23.0,7.0,8.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Inter,Opponent Total,,,27.1,38.0,38.0,,,,,,,,8.0,7.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Doni,br BRA,GK,25.0,28.0,28.0,2520.0,28.0,28.0,1.0,114.0,86.0,75.4,15.0,9.0,4.0,11.0,39.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Gianluca Curci,it ITA,GK,20.0,10.0,10.0,900.0,10.0,13.0,1.3,43.0,30.0,69.8,4.0,3.0,3.0,4.0,40.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Squad Total,,,26.2,38.0,38.0,3420.0,,41.0,1.08,157.0,116.0,73.9,19.0,12.0,7.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Roma,Opponent Total,,,27.4,38.0,38.0,,,,,,,,7.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Milan,Dida,br BRA,GK,31.0,36.0,36.0,3240.0,36.0,31.0,0.86,127.0,96.0,75.6,26.0,4.0,6.0,14.0,38.9,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Milan,Zeljko Kalac,au AUS,GK,32.0,2.0,2.0,180.0,2.0,0.0,0.0,9.0,9.0,100.0,2.0,0.0,0.0,2.0,100.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Milan,Squad Total,,,29.6,38.0,38.0,3420.0,,31.0,0.82,136.0,105.0,77.2,28.0,4.0,6.0,16.0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Milan,Opponent Total,,,27.3,38.0,38.0,,,,,,,,6.0,4.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Chievo,Alberto Fontana,it ITA,GK,38.0,29.0,29.0,2533.0,28.1,37.0,1.31,133.0,96.0,72.2,9.0,13.0,6.0,6.0,20.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Chievo,Lorenzo Squizzi,it ITA,GK,31.0,12.0,9.0,888.0,9.9,12.0,1.22,41.0,29.0,70.7,4.0,2.0,4.0,3.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Chievo,Squad Total,,,28.4,38.0,38.0,3421.0,,49.0,1.29,174.0,125.0,71.8,13.0,15.0,10.0,9.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Chievo,Opponent Total,,,27.2,38.0,38.0,,,,,,,,10.0,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,SeriaA,Palermo,Cristiano Lupatelli,it ITA,GK,27.0,13.0,12.0,1020.0,11.3,26.0,2.29,75.0,49.0,65.3,1.0,2.0,9.0,1.0,8.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
