Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2006-2007,LaLiga,Real Madrid,Iker Casillas,es ESP,GK,25.0,38.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Ruud van Nistelrooy,nl NED,FW,30.0,35.2,25.0,,62.0,,,1.76,,0.37,,2.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Sergio Ramos,es ESP,DF,20.0,32.1,5.0,,13.0,,,0.4,,0.38,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Fabio Cannavaro,it ITA,DF,32.0,30.8,0.0,,3.0,,,0.1,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Raúl,es ESP,FW,29.0,29.6,8.0,,20.0,,,0.67,,0.4,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Mahamadou Diarra,ml MLI,MF,25.0,29.9,3.0,,10.0,,,0.33,,0.3,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Emerson,br BRA,MF,30.0,24.6,1.0,,8.0,,,0.33,,0.13,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Roberto Carlos,br BRA,DF,33.0,21.7,3.0,,17.0,,,0.78,,0.18,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Iván Helguera,es ESP,"DF,MF",31.0,21.8,1.0,,3.0,,,0.14,,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,LaLiga,Real Madrid,Guti,es ESP,"FW,MF",29.0,21.1,1.0,,5.0,,,0.24,,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
