Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2006-2007,SeriaA,Inter,Javier Zanetti,ar ARG,"DF,MF",32.0,34.8,2.0,0.0,,24.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Júlio César,br BRA,GK,26.0,32.0,2.0,0.0,,0.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Dejan Stanković,rs SRB,MF,27.0,30.2,11.0,0.0,,54.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Maicon Sisenando,br BRA,DF,25.0,28.8,8.0,1.0,,28.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Marco Materazzi,it ITA,DF,32.0,26.4,12.0,1.0,,61.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Iván Córdoba,co COL,DF,29.0,25.2,8.0,0.0,,44.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Zlatan Ibrahimović,se SWE,FW,24.0,24.0,6.0,2.0,,76.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Hernán Crespo,ar ARG,FW,31.0,20.6,3.0,0.0,,25.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Fabio Grosso,it ITA,"DF,MF",28.0,18.0,1.0,0.0,,12.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Luís Figo,pt POR,"FW,MF",33.0,22.4,4.0,0.0,,34.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Nicolás Burdisso,ar ARG,DF,25.0,20.9,7.0,0.0,,41.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Patrick Vieira,fr FRA,MF,30.0,18.8,7.0,1.0,,54.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Esteban Cambiasso,ar ARG,MF,25.0,17.7,0.0,0.0,,11.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Olivier Dacourt,fr FRA,MF,31.0,16.5,6.0,0.0,,42.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,SeriaA,Inter,Adriano,br BRA,FW,24.0,15.7,1.0,0.0,,36.0,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
