Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2008-2009,Ligue1,Bordeaux,Ulrich Ramé,fr FRA,GK,35.0,26.0,26.0,2206.0,24.5,23.0,0.94,74.0,51.0,68.9,16.0,5.0,4.0,9.0,34.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Bordeaux,Mathieu Valverde,fr FRA,GK,25.0,15.0,12.0,1168.0,13.0,11.0,0.85,42.0,31.0,73.8,7.0,3.0,2.0,4.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Bordeaux,Kévin Olimpa,fr FRA,GK,20.0,1.0,0.0,46.0,0.5,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Bordeaux,Squad Total,,,26.4,38.0,38.0,3420.0,,34.0,0.89,118.0,84.0,71.2,24.0,8.0,6.0,14.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Bordeaux,Opponent Total,,,26.1,38.0,38.0,,,,,,,,6.0,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Marseille,Steve Mandanda,fr FRA,GK,23.0,38.0,38.0,3375.0,37.5,35.0,0.93,147.0,112.0,76.2,22.0,11.0,5.0,17.0,44.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Marseille,Rudy Riou,fr FRA,GK,28.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Marseille,Squad Total,,,26.1,38.0,38.0,3420.0,,35.0,0.92,147.0,112.0,76.2,22.0,11.0,5.0,17.0,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Marseille,Opponent Total,,,26.5,38.0,38.0,,,,,,,,5.0,11.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lyon,Hugo Lloris,fr FRA,GK,21.0,35.0,35.0,3150.0,35.0,27.0,0.77,112.0,85.0,75.9,19.0,10.0,6.0,16.0,45.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
