Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2010-2011,Bundesliga,Dortmund,Marcel Schmelzer,de GER,DF,22.0,,34.0,3060.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.03,0.03,0.0,0.03,Matches,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Roman Weidenfeller,de GER,GK,29.0,,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Mats Hummels,de GER,DF,21.0,,32.0,2831.0,31.5,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,,,,0.16,0.03,0.19,0.16,0.19,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Kevin Großkreutz,de GER,"DF,FW",22.0,,32.0,2584.0,28.7,8.0,6.0,14.0,8.0,0.0,0.0,3.0,0.0,,,,0.28,0.21,0.49,0.28,0.49,Matches,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Neven Subotić,rs SRB,DF,21.0,,31.0,2772.0,30.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,,,,0.03,0.0,0.03,0.03,0.03,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Nuri Şahin,tr TUR,MF,21.0,,30.0,2585.0,28.7,6.0,8.0,14.0,6.0,0.0,2.0,4.0,0.0,,,,0.21,0.28,0.49,0.21,0.49,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Łukasz Piszczek,pl POL,"DF,MF",25.0,,29.0,2666.0,29.6,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.14,0.14,0.0,0.14,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Mario Götze,de GER,"FW,MF",18.0,,29.0,2530.0,28.1,6.0,11.0,17.0,6.0,0.0,0.0,1.0,0.0,,,,0.21,0.39,0.6,0.21,0.6,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Lucas Barrios,py PAR,FW,25.0,,29.0,2468.0,27.4,16.0,2.0,18.0,16.0,0.0,1.0,3.0,0.0,,,,0.58,0.07,0.66,0.58,0.66,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Sven Bender,de GER,"DF,MF",21.0,,29.0,2439.0,27.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,,,,0.04,0.07,0.11,0.04,0.11,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Shinji Kagawa,jp JPN,"FW,MF",21.0,,17.0,1362.0,15.1,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,,,,0.53,0.07,0.59,0.53,0.59,Matches,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Robert Lewandowski,pl POL,FW,21.0,,15.0,1591.0,17.7,8.0,1.0,9.0,8.0,0.0,0.0,4.0,0.0,,,,0.45,0.06,0.51,0.45,0.51,Matches,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
