Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2015-2016,SeriaA,Juventus,Leonardo Bonucci,it ITA,DF,28.0,35.1,3.0,,8.0,,,0.23,,0.38,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,37.0,35.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Paul Pogba,fr FRA,MF,22.0,33.5,8.0,,39.0,,,1.16,,0.18,,1.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Andrea Barzagli,it ITA,DF,34.0,30.4,1.0,,1.0,,,0.03,,1.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Paulo Dybala,ar ARG,FW,21.0,27.1,19.0,,43.0,,,1.58,,0.3,,6.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Patrice Evra,fr FRA,"MF,DF",34.0,22.7,2.0,,6.0,,,0.26,,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Mario Mandžukić,hr CRO,FW,29.0,22.7,10.0,,16.0,,,0.71,,0.63,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Claudio Marchisio,it ITA,MF,29.0,21.4,0.0,,6.0,,,0.28,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Stephan Lichtsteiner,ch SUI,"MF,DF",31.0,20.2,0.0,,6.0,,,0.3,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Giorgio Chiellini,it ITA,DF,30.0,19.9,1.0,,2.0,,,0.1,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Sami Khedira,de GER,MF,28.0,17.0,5.0,,10.0,,,0.59,,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Juan Cuadrado,co COL,"MF,FW",27.0,19.2,4.0,,11.0,,,0.57,,0.36,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Álvaro Morata,es ESP,FW,22.0,16.0,7.0,,20.0,,,1.25,,0.3,,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,SeriaA,Juventus,Alex Sandro,br BRA,"MF,DF",24.0,16.7,2.0,,3.0,,,0.18,,0.67,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
