Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2018-2019,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,"DF,MF",23.0,34.0,3060.0,90.0,100.0,34.0,34.0,90.0,34.0,0.0,,0.0,2.29,88.0,32.0,56.0,1.65,,85.6,27.2,58.4,1.72,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,29.0,33.0,2957.0,90.0,96.6,32.9,33.0,90.0,31.0,0.0,,1.0,2.33,87.0,31.0,56.0,1.7,1.7,84.0,25.8,58.2,1.77,1.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,22.0,31.0,2654.0,86.0,86.7,29.5,29.0,90.0,29.0,2.0,21.0,3.0,2.23,73.0,29.0,44.0,1.49,-1.17,75.2,22.7,52.5,1.78,0.46,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,David Alaba,at AUT,DF,26.0,31.0,2530.0,82.0,82.7,28.1,29.0,85.0,24.0,2.0,27.0,0.0,2.29,71.0,27.0,44.0,1.57,-0.47,68.4,23.6,44.9,1.6,-0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Thomas Müller,de GER,"MF,FW",28.0,32.0,2378.0,74.0,77.7,26.4,28.0,81.0,11.0,4.0,29.0,2.0,2.25,72.0,21.0,51.0,1.93,1.27,67.8,19.7,48.1,1.82,0.45,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,MF,27.0,30.0,2408.0,80.0,78.7,26.8,26.0,89.0,23.0,4.0,24.0,0.0,2.53,74.0,21.0,53.0,1.98,1.57,69.1,19.6,49.5,1.85,0.62,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,32.0,26.0,2302.0,89.0,75.2,25.6,26.0,89.0,25.0,0.0,,0.0,2.42,71.0,23.0,48.0,1.88,0.93,61.1,18.6,42.5,1.66,-0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,23.0,30.0,2023.0,67.0,66.1,22.5,23.0,81.0,18.0,7.0,22.0,0.0,2.3,56.0,24.0,32.0,1.42,-0.66,57.1,18.2,38.9,1.73,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",23.0,30.0,1762.0,59.0,57.6,19.6,21.0,72.0,3.0,9.0,28.0,0.0,2.27,51.0,18.0,33.0,1.69,0.09,51.8,15.2,36.6,1.87,0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Mats Hummels,de GER,DF,29.0,21.0,1775.0,85.0,58.0,19.7,20.0,89.0,19.0,1.0,0.0,8.0,2.1,52.0,19.0,33.0,1.67,0.06,50.3,16.7,33.5,1.7,-0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,29.0,20.0,1693.0,85.0,55.3,18.8,19.0,89.0,18.0,1.0,0.0,11.0,2.4,51.0,17.0,34.0,1.81,0.36,45.8,15.2,30.6,1.63,-0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",22.0,21.0,1378.0,66.0,45.0,15.3,17.0,76.0,5.0,4.0,22.0,0.0,2.57,42.0,13.0,29.0,1.89,0.45,38.0,12.3,25.6,1.67,-0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Javi Martínez,es ESP,MF,29.0,21.0,1309.0,62.0,42.8,14.5,16.0,79.0,9.0,5.0,10.0,9.0,2.57,37.0,15.0,22.0,1.51,-0.23,32.6,14.1,18.4,1.27,-0.79,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,James Rodríguez,co COL,MF,27.0,20.0,1138.0,57.0,37.2,12.6,13.0,78.0,3.0,7.0,17.0,4.0,2.25,32.0,14.0,18.0,1.42,-0.36,32.2,9.3,22.9,1.82,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"MF,FW",35.0,25.0,1174.0,47.0,38.4,13.0,10.0,75.0,2.0,15.0,28.0,2.0,2.24,31.0,13.0,18.0,1.38,-0.43,33.1,11.0,22.0,1.69,-0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Rafinha,br BRA,DF,32.0,16.0,901.0,56.0,29.4,10.0,9.0,88.0,7.0,7.0,15.0,13.0,2.31,26.0,9.0,17.0,1.7,0.07,27.9,6.8,21.1,2.11,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,29.0,9.0,758.0,84.0,24.8,8.4,8.0,90.0,8.0,1.0,37.0,25.0,2.0,17.0,9.0,8.0,0.95,-0.93,24.5,8.5,16.0,1.9,0.24,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Arjen Robben,nl NED,"FW,MF",34.0,12.0,567.0,47.0,18.5,6.3,7.0,68.0,2.0,5.0,18.0,2.0,1.83,13.0,9.0,4.0,0.63,-1.24,13.8,4.8,9.0,1.43,-0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Renato Sanches,pt POR,MF,20.0,17.0,577.0,34.0,18.9,6.4,4.0,84.0,2.0,13.0,19.0,13.0,1.94,16.0,9.0,7.0,1.09,-0.68,17.0,6.4,10.6,1.66,-0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,Bayern Munich,Sandro Wagner,de GER,FW,30.0,7.0,143.0,20.0,4.7,1.6,1.0,80.0,0.0,6.0,11.0,8.0,1.86,1.0,0.0,1.0,0.63,-1.07,3.0,0.6,2.5,1.57,-0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
