Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,33.0,33.0,1511.0,1051.0,1475.0,36.0,1.0,1.0,1511.0,1.0,1.0,100.0,0.0,0.0,796.0,4385.0,2908.0,0.0,0.0,0.0,2.0,0.0,894.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,"MF,DF",24.0,31.3,3146.0,87.0,682.0,1709.0,777.0,34.0,3146.0,30.0,19.0,63.3,11.0,36.7,1922.0,10428.0,4772.0,57.0,54.0,4.0,41.0,19.0,2226.0,106.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,23.0,31.0,2791.0,104.0,730.0,1527.0,547.0,41.0,2791.0,26.0,13.0,50.0,13.0,50.0,1605.0,7629.0,4377.0,70.0,47.0,5.0,22.0,7.0,2022.0,145.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,30.0,30.7,1178.0,14.0,43.0,409.0,738.0,250.0,1173.0,90.0,58.0,64.4,32.0,35.6,768.0,3989.0,1623.0,70.0,44.0,47.0,81.0,54.0,981.0,245.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,David Alaba,at AUT,DF,27.0,27.8,2691.0,145.0,943.0,1538.0,232.0,12.0,2691.0,9.0,7.0,77.8,2.0,22.2,1907.0,12192.0,7412.0,69.0,28.0,3.0,16.0,4.0,2060.0,42.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Thomas Müller,de GER,"MF,FW",29.0,25.1,1616.0,11.0,102.0,714.0,812.0,160.0,1616.0,29.0,18.0,62.1,11.0,37.9,900.0,3951.0,2198.0,75.0,49.0,22.0,54.0,21.0,1252.0,308.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",24.0,24.4,1461.0,8.0,99.0,537.0,847.0,207.0,1461.0,96.0,55.0,57.3,41.0,42.7,971.0,6089.0,3228.0,118.0,75.0,59.0,53.0,25.0,1166.0,337.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,18.0,24.8,2172.0,60.0,539.0,1010.0,653.0,61.0,2172.0,129.0,82.0,63.6,47.0,36.4,1238.0,7792.0,4438.0,121.0,90.0,22.0,53.0,42.0,1320.0,191.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,30.0,20.0,1857.0,140.0,817.0,1001.0,44.0,4.0,1857.0,0.0,0.0,,0.0,,1224.0,5007.0,2350.0,6.0,8.0,0.0,1.0,1.0,1394.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,MF,28.0,19.7,2029.0,47.0,358.0,1364.0,334.0,23.0,2029.0,83.0,71.0,85.5,12.0,14.5,1250.0,5577.0,2677.0,27.0,35.0,7.0,28.0,19.0,1507.0,43.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
