Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,EPL,Liverpool,Virgil van Dijk,nl NED,DF,28.0,38.0,3588.0,315.0,1365.0,2126.0,102.0,49.0,3588.0,4.0,3.0,75.0,1.0,25.0,2484.0,9365.0,4594.0,21.0,19.0,3.0,2.0,2.0,2580.0,14.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Trent Alexander-Arnold,eng ENG,DF,20.0,35.3,3582.0,99.0,825.0,1590.0,1193.0,54.0,3582.0,51.0,21.0,41.2,30.0,58.8,2136.0,9096.0,5332.0,98.0,113.0,16.0,47.0,12.0,2281.0,226.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Georginio Wijnaldum,nl NED,MF,28.0,32.6,1947.0,41.0,267.0,1168.0,530.0,74.0,1947.0,74.0,41.0,55.4,33.0,44.6,1410.0,6609.0,3045.0,74.0,67.0,5.0,43.0,30.0,1439.0,99.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Andrew Robertson,sct SCO,DF,25.0,34.6,3296.0,89.0,622.0,1575.0,1129.0,83.0,3296.0,44.0,22.0,50.0,22.0,50.0,2152.0,10659.0,6603.0,149.0,115.0,20.0,50.0,9.0,2317.0,277.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Roberto Firmino,br BRA,FW,27.0,33.2,1558.0,16.0,103.0,697.0,775.0,211.0,1558.0,90.0,52.0,57.8,38.0,42.2,1082.0,5483.0,2646.0,90.0,62.0,35.0,92.0,39.0,1203.0,218.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Mohamed Salah,eg EGY,FW,27.0,32.0,1368.0,4.0,59.0,385.0,935.0,291.0,1365.0,83.0,50.0,60.2,33.0,39.8,1037.0,5484.0,2722.0,105.0,51.0,72.0,88.0,67.0,1090.0,347.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Sadio Mané,sn SEN,FW,27.0,30.5,1547.0,15.0,113.0,565.0,897.0,201.0,1547.0,110.0,69.0,62.7,41.0,37.3,1195.0,7762.0,3888.0,159.0,103.0,62.0,100.0,57.0,1256.0,286.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Alisson,br BRA,GK,26.0,28.3,992.0,792.0,983.0,10.0,0.0,0.0,992.0,0.0,0.0,,0.0,,600.0,2483.0,1531.0,0.0,1.0,1.0,0.0,0.0,495.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Jordan Henderson,eng ENG,MF,29.0,24.9,2144.0,29.0,289.0,1391.0,481.0,43.0,2144.0,28.0,17.0,60.7,11.0,39.3,1479.0,6546.0,3233.0,51.0,51.0,5.0,25.0,6.0,1580.0,77.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Liverpool,Fabinho,br BRA,MF,25.0,23.1,1783.0,40.0,350.0,1147.0,295.0,10.0,1783.0,12.0,9.0,75.0,3.0,25.0,1137.0,5013.0,2323.0,19.0,23.0,0.0,15.0,8.0,1256.0,23.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
