Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2020-2021,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,27.0,38.0,25.0,1.0,0.0,5.0,3.0,33.1,0.25,11.1,0.29,202.0,539.0,37.5,710.0,131.0,49.7,39.1,293.0,63.5,45.9,513.0,14.0,2.7,27.0,0.71,15.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Squad Total,,,27.3,38.0,25.0,1.0,0.0,5.0,3.0,33.1,0.25,11.1,0.29,202.0,539.0,37.5,710.0,131.0,49.7,39.1,293.0,63.5,45.9,513.0,14.0,2.7,27.0,0.71,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Opponent Total,,,27.5,38.0,67.0,5.0,1.0,6.0,2.0,59.8,0.3,-5.2,-0.14,204.0,549.0,37.2,958.0,160.0,42.3,36.2,287.0,50.2,42.3,446.0,18.0,4.0,41.0,1.08,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,28.0,38.0,28.0,7.0,0.0,3.0,1.0,32.7,0.22,5.7,0.15,89.0,300.0,29.7,1086.0,243.0,20.6,29.6,235.0,32.3,36.6,472.0,26.0,5.5,44.0,1.16,15.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Squad Total,,,27.9,38.0,28.0,7.0,0.0,3.0,1.0,32.7,0.22,5.7,0.15,89.0,300.0,29.7,1086.0,243.0,20.6,29.6,235.0,32.3,36.6,472.0,26.0,5.5,44.0,1.16,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Opponent Total,,,27.5,38.0,67.0,3.0,1.0,8.0,3.0,53.1,0.3,-10.9,-0.29,290.0,691.0,42.0,943.0,157.0,45.8,38.0,353.0,73.4,50.8,562.0,20.0,3.6,37.0,0.97,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,28.0,31.0,32.0,3.0,1.0,4.0,2.0,28.6,0.24,-1.4,-0.04,78.0,171.0,45.6,881.0,156.0,14.6,26.5,161.0,26.1,31.6,283.0,17.0,6.0,32.0,1.03,15.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Barcelona,Neto,br BRA,GK,31.0,7.0,6.0,2.0,0.0,1.0,0.0,7.4,0.23,1.4,0.2,14.0,36.0,38.9,189.0,37.0,15.3,24.8,52.0,13.5,23.0,86.0,2.0,2.3,8.0,1.14,13.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Barcelona,Squad Total,,,26.4,38.0,38.0,5.0,1.0,5.0,2.0,36.0,0.24,0.0,0.0,92.0,207.0,44.4,1070.0,193.0,14.8,26.2,213.0,23.0,29.5,369.0,19.0,5.1,40.0,1.05,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Barcelona,Opponent Total,,,27.4,38.0,85.0,4.0,3.0,4.0,5.0,77.8,0.31,-2.2,-0.06,225.0,586.0,38.4,864.0,137.0,46.6,37.8,312.0,58.7,46.0,355.0,18.0,5.1,32.0,0.84,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
