Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2020-2021,Ligue1,Lille,Mike Maignan,fr FRA,GK,25.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Sven Botman,nl NED,DF,20.0,36.8,31.0,21.0,18.0,12.0,1.0,14.0,26.0,53.8,12.0,31.0,21.0,10.0,57.0,88.0,126.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,José Fonte,pt POR,DF,36.0,35.4,40.0,29.0,28.0,10.0,2.0,27.0,33.0,81.8,6.0,36.0,23.0,13.0,36.0,76.0,137.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Benjamin André,fr FRA,MF,29.0,32.1,114.0,68.0,47.0,61.0,6.0,53.0,122.0,43.4,69.0,39.0,10.0,29.0,76.0,190.0,49.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Jonathan Bamba,fr FRA,MF,24.0,33.2,45.0,23.0,15.0,19.0,11.0,24.0,84.0,28.6,60.0,24.0,2.0,22.0,24.0,69.0,15.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Jonathan David,ca CAN,FW,20.0,26.2,17.0,10.0,5.0,5.0,7.0,9.0,24.0,37.5,15.0,19.0,1.0,18.0,3.0,20.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Zeki Çelik,tr TUR,DF,23.0,26.5,72.0,33.0,30.0,30.0,12.0,44.0,81.0,54.3,37.0,32.0,6.0,26.0,38.0,110.0,52.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Jonathan Ikone,fr FRA,"MF,FW",22.0,24.2,18.0,12.0,3.0,8.0,7.0,9.0,22.0,40.9,13.0,16.0,1.0,15.0,7.0,25.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Reinildo Mandava,mz MOZ,DF,26.0,24.2,79.0,43.0,39.0,32.0,8.0,35.0,58.0,60.3,23.0,26.0,3.0,23.0,45.0,124.0,53.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,Ligue1,Lille,Burak Yılmaz,tr TUR,FW,35.0,22.8,13.0,6.0,3.0,7.0,3.0,4.0,30.0,13.3,26.0,7.0,0.0,7.0,5.0,18.0,22.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
