Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2021-2022,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,32.0,32.7,35.0,156.0,75.0,48.1,4.77,2.29,0.19,0.4,13.6,5.0,5.0,,3.0,33.2,29.3,0.19,1.8,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,31.0,28.4,8.0,55.0,26.0,47.3,1.94,0.91,0.15,0.31,13.2,0.0,0.0,,0.0,10.5,10.5,0.2,-2.5,-2.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,35.0,27.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,26.0,27.5,3.0,27.0,9.0,33.3,0.98,0.33,0.11,0.33,24.7,0.0,0.0,,0.0,2.3,2.3,0.09,0.7,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Dayot Upamecano,fr FRA,DF,22.0,24.6,1.0,11.0,2.0,18.2,0.45,0.08,0.09,0.5,14.9,0.0,0.0,,0.0,0.6,0.6,0.05,0.4,0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,DF",26.0,24.3,14.0,68.0,26.0,38.2,2.8,1.07,0.21,0.54,16.3,0.0,0.0,,0.0,8.5,8.5,0.13,5.5,5.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,25.0,22.6,0.0,4.0,1.0,25.0,0.18,0.04,0.0,0.0,10.4,0.0,0.0,,0.0,0.4,0.4,0.11,-0.4,-0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,25.0,23.1,0.0,18.0,3.0,16.7,0.78,0.13,0.0,0.0,21.5,0.0,0.0,,0.0,0.7,0.7,0.04,-0.7,-0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Leroy Sané,de GER,"FW,MF",25.0,22.0,7.0,89.0,32.0,36.0,4.05,1.46,0.08,0.22,20.8,0.0,0.0,,8.0,11.4,11.4,0.13,-4.4,-4.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,20.0,19.3,0.0,18.0,6.0,33.3,0.93,0.31,0.0,0.0,16.6,0.0,0.0,,0.0,1.3,1.3,0.07,-1.3,-1.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,25.0,20.4,1.0,16.0,6.0,37.5,0.78,0.29,0.06,0.17,18.0,0.0,0.0,,0.0,1.3,1.3,0.08,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,26.0,15.5,3.0,45.0,12.0,26.7,2.9,0.77,0.07,0.25,17.7,0.0,0.0,,0.0,4.1,4.1,0.09,-1.1,-1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,DF",25.0,15.1,6.0,46.0,20.0,43.5,3.05,1.32,0.13,0.3,17.2,0.0,0.0,,0.0,4.0,4.0,0.09,2.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"MF,FW",18.0,16.3,5.0,41.0,15.0,36.6,2.52,0.92,0.12,0.33,16.1,0.0,0.0,,0.0,4.1,4.1,0.1,0.9,0.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Marcel Sabitzer,at AUT,"MF,DF",27.0,10.1,1.0,20.0,6.0,30.0,1.99,0.6,0.05,0.17,19.8,0.0,0.0,,1.0,2.1,2.1,0.11,-1.1,-1.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,26.0,7.8,2.0,17.0,3.0,17.6,2.18,0.38,0.12,0.67,19.5,0.0,0.0,,0.0,2.1,2.1,0.12,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Josip Stanišić,hr CRO,DF,21.0,7.2,1.0,4.0,3.0,75.0,0.56,0.42,0.25,0.33,10.4,0.0,0.0,,0.0,0.5,0.5,0.12,0.5,0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Tanguy Nianzou,fr FRA,DF,19.0,6.5,1.0,6.0,1.0,16.7,0.93,0.15,0.17,1.0,13.0,0.0,0.0,,0.0,0.4,0.4,0.06,0.6,0.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,32.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Omar Richards,eng ENG,DF,23.0,4.9,0.0,4.0,0.0,0.0,0.82,0.0,0.0,,12.8,0.0,0.0,,0.0,0.3,0.3,0.07,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Marc Roca,es ESP,MF,24.0,4.2,0.0,5.0,0.0,0.0,1.19,0.0,0.0,,22.6,0.0,0.0,,0.0,0.2,0.2,0.04,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",32.0,4.2,4.0,15.0,8.0,53.3,3.58,1.91,0.27,0.5,11.8,0.0,0.0,,0.0,2.3,2.3,0.18,1.7,1.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Malik Tillman,us USA,"FW,MF",19.0,1.2,0.0,1.0,1.0,100.0,0.87,0.87,0.0,0.0,11.6,0.0,0.0,,0.0,0.2,0.2,0.16,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Bouna Sarr,sn SEN,DF,29.0,0.7,0.0,1.0,0.0,0.0,1.41,0.0,0.0,,17.9,0.0,0.0,,0.0,0.0,0.0,0.04,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Paul Wanner,de GER,"FW,MF",15.0,0.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Gabriel Vidovic,hr CRO,"FW,MF",17.0,0.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Lucas Copado,de GER,FW,17.0,0.2,0.0,1.0,0.0,0.0,5.63,0.0,0.0,,17.7,0.0,0.0,,0.0,0.0,0.0,0.04,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Mickaël Cuisance,fr FRA,MF,21.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Christian Früchtl,de GER,GK,21.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Chris Richards,us USA,DF,21.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Squad Total,,,26.8,34.0,92.0,668.0,255.0,38.2,19.65,7.5,0.13,0.34,16.7,5.0,5.0,,12.0,89.0,85.1,0.13,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Opponent Total,,,26.1,34.0,36.0,315.0,110.0,34.9,9.26,3.24,0.11,0.31,17.2,2.0,2.0,,9.0,36.3,34.7,0.11,-0.3,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Jude Bellingham,eng ENG,MF,18.0,31.0,3.0,44.0,12.0,27.3,1.42,0.39,0.07,0.25,18.1,0.0,0.0,,0.0,4.8,4.8,0.11,-1.8,-1.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Dortmund,Gregor Kobel,ch SUI,GK,23.0,28.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
