Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2021-2022,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,29.0,36.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Éder Militão,br BRA,DF,23.0,33.7,36.0,1.07,26.0,1.0,0.0,4.0,3.0,2.0,5.0,0.15,2.0,0.0,0.0,1.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,33.0,28.8,128.0,4.45,108.0,0.0,12.0,7.0,1.0,0.0,22.0,0.77,16.0,0.0,5.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Casemiro,br BRA,MF,29.0,28.5,65.0,2.28,58.0,0.0,1.0,2.0,2.0,2.0,10.0,0.35,7.0,0.0,0.0,1.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Vinicius Júnior,br BRA,FW,21.0,29.9,188.0,6.29,129.0,1.0,27.0,9.0,19.0,3.0,28.0,0.94,18.0,0.0,5.0,1.0,3.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,David Alaba,at AUT,DF,29.0,29.4,45.0,1.53,37.0,2.0,1.0,4.0,0.0,1.0,8.0,0.27,7.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Toni Kroos,de GER,MF,31.0,23.4,88.0,3.77,60.0,25.0,2.0,0.0,0.0,1.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,35.0,22.6,84.0,3.72,68.0,9.0,3.0,3.0,0.0,1.0,11.0,0.49,8.0,1.0,0.0,2.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Lucas Vázquez,es ESP,DF,30.0,20.4,57.0,2.8,47.0,3.0,2.0,1.0,3.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,26.0,19.3,60.0,3.11,48.0,3.0,8.0,0.0,1.0,0.0,4.0,0.21,3.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Federico Valverde,uy URU,MF,23.0,20.4,71.0,3.48,59.0,2.0,3.0,3.0,2.0,2.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
