Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2021-2022,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,29.0,36.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,44.0,8.0,1.0,88.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Éder Militão,br BRA,DF,23.0,33.7,5.0,0.0,0.0,38.0,39.0,1.0,11.0,52.0,32.0,1.0,0.0,0.0,,204.0,83.0,38.0,68.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,33.0,28.8,0.0,0.0,0.0,13.0,9.0,31.0,10.0,4.0,9.0,0.0,0.0,0.0,,44.0,18.0,30.0,37.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Casemiro,br BRA,MF,29.0,28.5,11.0,0.0,0.0,54.0,38.0,4.0,17.0,38.0,51.0,1.0,0.0,0.0,,230.0,101.0,50.0,66.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Vinicius Júnior,br BRA,FW,21.0,29.9,6.0,0.0,0.0,34.0,74.0,26.0,44.0,6.0,24.0,4.0,0.0,0.0,,105.0,3.0,8.0,27.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,David Alaba,at AUT,DF,29.0,29.4,2.0,0.0,0.0,16.0,6.0,2.0,40.0,22.0,13.0,0.0,0.0,0.0,,141.0,14.0,22.0,38.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Toni Kroos,de GER,MF,31.0,23.4,4.0,0.0,0.0,20.0,39.0,0.0,86.0,12.0,26.0,0.0,0.0,0.0,,125.0,8.0,10.0,44.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,35.0,22.6,4.0,0.0,0.0,24.0,32.0,1.0,48.0,20.0,10.0,0.0,0.0,0.0,,123.0,6.0,14.0,30.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Lucas Vázquez,es ESP,DF,30.0,20.4,3.0,0.0,0.0,26.0,34.0,5.0,75.0,20.0,22.0,0.0,0.0,0.0,,103.0,2.0,9.0,18.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,26.0,19.3,4.0,0.0,0.0,15.0,24.0,3.0,28.0,18.0,14.0,1.0,1.0,0.0,,98.0,11.0,13.0,45.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Federico Valverde,uy URU,MF,23.0,20.4,2.0,0.0,0.0,17.0,9.0,6.0,20.0,24.0,16.0,0.0,0.0,0.0,,127.0,15.0,8.0,65.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Marco Asensio,es ESP,"FW,MF",25.0,19.2,2.0,0.0,0.0,8.0,20.0,2.0,71.0,12.0,8.0,0.0,0.0,0.0,,83.0,0.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Nacho,es ESP,DF,31.0,17.3,7.0,0.0,0.0,15.0,13.0,0.0,11.0,34.0,14.0,0.0,0.0,0.0,,95.0,28.0,19.0,59.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Dani Carvajal,es ESP,DF,29.0,17.2,1.0,0.0,0.0,19.0,11.0,0.0,40.0,20.0,28.0,0.0,1.0,0.0,,97.0,14.0,14.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Rodrygo,br BRA,FW,20.0,16.9,4.0,0.0,0.0,20.0,29.0,13.0,41.0,11.0,14.0,3.0,0.0,0.0,,72.0,14.0,25.0,35.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
