Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,29.0,36.0,936.0,1137.0,82.3,21923.0,14425.0,208.0,210.0,99.0,531.0,537.0,98.9,192.0,383.0,50.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Éder Militão,br BRA,DF,23.0,33.7,1801.0,2037.0,88.4,34764.0,12063.0,650.0,688.0,94.5,893.0,953.0,93.7,220.0,314.0,70.1,2.0,1.1,1.5,0.9,12.0,137.0,5.0,1.0,102.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,33.0,28.8,1043.0,1245.0,83.8,13822.0,3030.0,670.0,739.0,90.7,249.0,290.0,85.9,56.0,76.0,73.7,12.0,7.9,7.4,4.1,62.0,76.0,82.0,1.0,177.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Casemiro,br BRA,MF,29.0,28.5,1695.0,1989.0,85.2,30880.0,10039.0,782.0,857.0,91.2,630.0,743.0,84.8,227.0,288.0,78.8,3.0,2.8,2.9,0.2,26.0,194.0,21.0,4.0,162.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Vinicius Júnior,br BRA,FW,21.0,29.9,1075.0,1289.0,83.4,14515.0,2865.0,684.0,759.0,90.1,269.0,315.0,85.4,52.0,72.0,72.2,10.0,8.0,7.7,2.0,68.0,32.0,68.0,7.0,123.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,David Alaba,at AUT,DF,29.0,29.4,1788.0,1968.0,90.9,29585.0,10903.0,831.0,870.0,95.5,804.0,859.0,93.6,102.0,161.0,63.4,3.0,2.2,3.0,0.8,21.0,143.0,15.0,3.0,154.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Toni Kroos,de GER,MF,31.0,23.4,2068.0,2259.0,91.5,38606.0,12144.0,904.0,934.0,96.8,790.0,834.0,94.7,311.0,396.0,78.5,3.0,3.2,4.0,-0.2,51.0,278.0,32.0,2.0,277.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,35.0,22.6,1500.0,1706.0,87.9,25207.0,7617.0,753.0,799.0,94.2,517.0,571.0,90.5,165.0,219.0,75.3,8.0,5.2,5.1,2.8,37.0,188.0,38.0,3.0,221.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Lucas Vázquez,es ESP,DF,30.0,20.4,1327.0,1537.0,86.3,20437.0,5574.0,753.0,810.0,93.0,437.0,502.0,87.1,91.0,153.0,59.5,0.0,2.5,4.1,-2.5,31.0,61.0,35.0,11.0,108.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,26.0,19.3,1226.0,1351.0,90.7,16815.0,4718.0,757.0,797.0,95.0,367.0,399.0,92.0,47.0,63.0,74.6,1.0,1.4,2.3,-0.4,19.0,85.0,14.0,1.0,99.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Federico Valverde,uy URU,MF,23.0,20.4,1039.0,1183.0,87.8,15572.0,3864.0,587.0,631.0,93.0,328.0,360.0,91.1,73.0,104.0,70.2,1.0,1.7,1.7,-0.7,24.0,119.0,19.0,0.0,129.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Marco Asensio,es ESP,"FW,MF",25.0,19.2,731.0,894.0,81.8,10841.0,2086.0,415.0,452.0,91.8,221.0,261.0,84.7,55.0,102.0,53.9,0.0,2.4,3.0,-2.4,31.0,59.0,19.0,2.0,80.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Nacho,es ESP,DF,31.0,17.3,962.0,1047.0,91.9,16192.0,5660.0,436.0,461.0,94.6,429.0,454.0,94.5,71.0,90.0,78.9,0.0,0.3,0.3,-0.3,8.0,44.0,3.0,2.0,59.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Dani Carvajal,es ESP,DF,29.0,17.2,1020.0,1193.0,85.5,16957.0,4438.0,522.0,568.0,91.9,396.0,459.0,86.3,87.0,122.0,71.3,3.0,2.4,2.8,0.6,25.0,51.0,24.0,8.0,73.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Rodrygo,br BRA,FW,20.0,16.9,555.0,682.0,81.4,6480.0,1383.0,377.0,410.0,92.0,100.0,133.0,75.2,15.0,36.0,41.7,4.0,2.4,2.7,1.6,28.0,28.0,21.0,2.0,49.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Eduardo Camavinga,fr FRA,MF,18.0,13.7,760.0,847.0,89.7,13399.0,3459.0,339.0,364.0,93.1,322.0,345.0,93.3,78.0,95.0,82.1,1.0,1.0,1.4,0.0,14.0,75.0,7.0,1.0,79.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Eden Hazard,be BEL,"FW,MF",30.0,8.0,359.0,407.0,88.2,4710.0,910.0,226.0,246.0,91.9,91.0,100.0,91.0,12.0,16.0,75.0,1.0,2.0,1.8,-1.0,27.0,18.0,12.0,0.0,34.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Marcelo,br BRA,DF,33.0,5.8,385.0,466.0,82.6,6104.0,1530.0,203.0,220.0,92.3,145.0,166.0,87.3,23.0,52.0,44.2,2.0,0.7,0.8,1.3,9.0,29.0,10.0,4.0,47.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Jesús Vallejo,es ESP,DF,24.0,3.8,188.0,219.0,85.8,3328.0,1162.0,77.0,85.0,90.6,91.0,98.0,92.9,17.0,30.0,56.7,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Gareth Bale,wls WAL,FW,32.0,3.1,45.0,65.0,69.2,668.0,177.0,25.0,31.0,80.6,16.0,21.0,76.2,3.0,5.0,60.0,0.0,0.1,0.1,-0.1,2.0,3.0,3.0,2.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Mariano,do DOM,FW,27.0,3.8,42.0,61.0,68.9,602.0,163.0,26.0,32.0,81.3,11.0,15.0,73.3,3.0,7.0,42.9,1.0,0.8,0.6,0.2,6.0,2.0,4.0,0.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Isco,es ESP,"MF,FW",29.0,3.7,238.0,271.0,87.8,3885.0,1057.0,124.0,132.0,93.9,87.0,92.0,94.6,21.0,31.0,67.7,0.0,1.4,0.6,-1.4,10.0,21.0,8.0,0.0,42.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Miguel Gutiérrez,es ESP,DF,20.0,2.9,165.0,182.0,90.7,2970.0,790.0,81.0,84.0,96.4,59.0,64.0,92.2,20.0,26.0,76.9,1.0,0.4,0.3,0.6,3.0,14.0,5.0,2.0,18.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Dani Ceballos,es ESP,MF,24.0,3.1,240.0,262.0,91.6,3954.0,1124.0,120.0,127.0,94.5,89.0,95.0,93.7,23.0,28.0,82.1,0.0,0.2,0.3,-0.2,3.0,22.0,6.0,0.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Andriy Lunin,ua UKR,GK,22.0,2.0,70.0,80.0,87.5,1696.0,1086.0,12.0,12.0,100.0,43.0,46.0,93.5,15.0,22.0,68.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Luka Jović,rs SRB,FW,23.0,4.1,52.0,67.0,77.6,705.0,121.0,33.0,41.0,80.5,12.0,15.0,80.0,3.0,3.0,100.0,3.0,0.8,0.6,2.2,5.0,3.0,3.0,0.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Blanco,es ESP,MF,21.0,0.3,18.0,20.0,90.0,278.0,93.0,7.0,8.0,87.5,7.0,7.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Peter González,do DOM,"MF,DF",19.0,0.3,14.0,18.0,77.8,197.0,31.0,10.0,10.0,100.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.2,0.1,-0.2,2.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Mario Gila,es ESP,DF,20.0,0.3,19.0,22.0,86.4,283.0,104.0,11.0,11.0,100.0,8.0,9.0,88.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Sergio Santos,es ESP,DF,20.0,0.1,8.0,8.0,100.0,136.0,39.0,4.0,4.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.1,0.0,-0.1,1.0,0.0,1.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Latasa,es ESP,FW,20.0,0.1,4.0,5.0,80.0,49.0,0.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Squad Total,,,27.7,38.0,21373.0,24517.0,87.2,355560.0,112655.0,10630.0,11395.0,93.3,7948.0,8751.0,90.8,1987.0,2902.0,68.5,59.0,50.7,55.1,8.3,526.0,1694.0,455.0,57.0,2078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Opponent Total,,,27.6,38.0,13258.0,16452.0,80.6,234875.0,88823.0,6260.0,6951.0,90.1,5038.0,5817.0,86.6,1529.0,2706.0,56.5,20.0,32.2,33.4,-12.2,319.0,1027.0,246.0,77.0,1257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,33.0,35.5,2430.0,2793.0,87.0,42404.0,12095.0,1078.0,1187.0,90.8,984.0,1090.0,90.3,272.0,355.0,76.6,0.0,1.7,2.7,-1.7,33.0,274.0,25.0,1.0,291.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,29.0,35.0,1113.0,1281.0,86.9,27465.0,18908.0,242.0,245.0,98.8,564.0,577.0,97.7,300.0,447.0,67.1,0.0,0.1,0.0,-0.1,1.0,10.0,0.0,0.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Jordi Alba,es ESP,DF,32.0,29.4,2334.0,2795.0,83.5,36392.0,12699.0,1218.0,1329.0,91.6,868.0,995.0,87.2,154.0,273.0,56.4,10.0,7.1,5.8,2.9,58.0,212.0,60.0,18.0,291.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
