Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2022-2023,Bundesliga,Bayern Munich,Yann Sommer,ch SUI,GK,33.0,19.0,19.0,1710.0,19.0,25.0,1.32,55.0,30.0,67.3,11.0,4.0,4.0,5.0,26.3,7.0,7.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,36.0,12.0,12.0,1080.0,12.0,11.0,0.92,44.0,33.0,79.5,7.0,4.0,1.0,4.0,33.3,2.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,33.0,3.0,3.0,270.0,3.0,2.0,0.67,8.0,5.0,75.0,3.0,0.0,0.0,2.0,66.7,1.0,0.0,1.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Squad Total,,,26.6,34.0,34.0,3060.0,34.0,38.0,1.12,107.0,68.0,72.9,21.0,8.0,5.0,11.0,32.4,10.0,9.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Bayern Munich,Opponent Total,,,26.6,34.0,34.0,3060.0,34.0,92.0,2.71,256.0,164.0,65.2,5.0,8.0,21.0,1.0,2.9,5.0,3.0,2.0,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Dortmund,Gregor Kobel,ch SUI,GK,24.0,27.0,27.0,2430.0,27.0,32.0,1.19,119.0,88.0,73.9,19.0,3.0,5.0,11.0,40.7,1.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Dortmund,Alexander Meyer,de GER,GK,31.0,7.0,7.0,630.0,7.0,12.0,1.71,32.0,20.0,62.5,3.0,2.0,2.0,1.0,14.3,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Dortmund,Squad Total,,,25.8,34.0,34.0,3060.0,34.0,44.0,1.29,151.0,108.0,71.5,22.0,5.0,7.0,12.0,35.3,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Dortmund,Opponent Total,,,26.5,34.0,34.0,3059.0,34.0,83.0,2.44,224.0,142.0,64.7,7.0,5.0,22.0,3.0,8.8,6.0,4.0,1.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,RB Leipzig,Janis Blaswich,de GER,GK,31.0,26.0,26.0,2340.0,26.0,29.0,1.12,75.0,45.0,69.3,16.0,4.0,6.0,7.0,26.9,7.0,6.0,1.0,0.0,14.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
